name,url,rate,director,type,country,year
泰坦尼克号 Titanic,https://movie.douban.com/subject/1292343/,8.8,导演: 埃里克·布雷斯 / J·麦基·格鲁伯,类型: 剧情 / 悬疑 / 科幻 / 惊悚,制片国家/地区: 美国/加拿大,年份: 2004
让子弹飞,https://movie.douban.com/subject/1293839/,9.0,导演: 威廉·惠勒,类型: 喜剧 / 剧情 / 爱情,制片国家/地区: 美国,年份: 1953
一一,https://movie.douban.com/subject/1485260/,8.9,导演: 大卫·芬奇,类型: 剧情 / 爱情 / 奇幻,制片国家/地区: 美国,年份: 2008
阳光姐妹淘 써니,https://movie.douban.com/subject/1291545/,8.8,导演: 蒂姆·波顿,类型: 剧情 / 家庭 / 奇幻 / 冒险,制片国家/地区: 美国,年份: 2003
致命ID Identity,https://movie.douban.com/subject/1316510/,8.7,导演: 刘镇伟,类型: 喜剧 / 奇幻 / 武侠 / 古装,制片国家/地区: 中国香港,年份: 1993
禁闭岛 Shutter Island,https://movie.douban.com/subject/1291818/,9.1,导演: 李安,类型: 剧情 / 家庭,制片国家/地区: 中国台湾/美国,年份: 1994
阿凡达 Avatar,https://movie.douban.com/subject/3742360/,8.9,导演: 姜文,类型: 剧情 / 喜剧 / 动作 / 西部,制片国家/地区: 中国大陆/中国香港,年份: 2010
甜蜜蜜,https://movie.douban.com/subject/1293530/,8.5,导演: 雷德利·斯科特,类型: 剧情 / 动作 / 冒险,制片国家/地区: 美国/英国/马耳他/摩洛哥,年份: 2000
重庆森林 重慶森林,https://movie.douban.com/subject/1292402/,8.9,导演: 朱塞佩·托纳多雷,类型: 剧情 / 战争 / 情色,制片国家/地区: 意大利/美国,年份: 2000
射雕英雄传之东成西就 射鵰英雄傳之東成西就,https://movie.douban.com/subject/3072124/,8.9,导演: 亚当·艾略特,类型: 剧情 / 喜剧 / 动画,制片国家/地区: 澳大利亚/美国,年份: 2009
罗马假日 Roman Holiday,https://movie.douban.com/subject/4917726/,8.8,导演: 姜炯哲,类型: 剧情 / 喜剧,制片国家/地区: 韩国,年份: 2011
告白,https://movie.douban.com/subject/1291875/,8.8,导演: 姜文,类型: 剧情 / 爱情,制片国家/地区: 中国大陆/中国香港,年份: 1994
玛丽和马克思 Mary and Max,https://movie.douban.com/subject/21937445/,9.2,导演: 杨宇硕,类型: 剧情,制片国家/地区: 韩国,年份: 2013
大闹天宫,https://movie.douban.com/subject/1418019/,9.4,导演: 万籁鸣,类型: 动画 / 奇幻,制片国家/地区: 中国大陆,年份: 1961
饮食男女 飲食男女,https://movie.douban.com/subject/1308777/,8.5,导演: 米歇尔·贡德里,类型: 剧情 / 爱情 / 科幻,制片国家/地区: 美国,年份: 2004
辩护人 변호인,https://movie.douban.com/subject/1291999/,8.8,导演: 王家卫,类型: 剧情 / 爱情,制片国家/地区: 中国香港,年份: 1994
暖暖内含光 Eternal Sunshine of the Spotless Mind,https://movie.douban.com/subject/21937452/,9.3,导演: 李濬益,类型: 剧情,制片国家/地区: 韩国,年份: 2013
海洋 Océans,https://movie.douban.com/subject/1292679/,9.0,导演: 王家卫,类型: 剧情 / 爱情 / 同性,制片国家/地区: 中国香港/日本/韩国,年份: 1997
风之谷 風の谷のナウシカ,https://movie.douban.com/subject/1297192/,8.8,导演: 詹姆斯·曼高德,类型: 剧情 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 2003
大鱼 Big Fish,https://movie.douban.com/subject/1305164/,8.9,导演: 陈可辛,类型: 剧情 / 爱情,制片国家/地区: 中国香港,年份: 1996
阳光灿烂的日子,https://movie.douban.com/subject/2334904/,8.8,导演: 马丁·斯科塞斯,类型: 剧情 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 2010
西西里的美丽传说 Malèna,https://movie.douban.com/subject/4268598/,8.7,导演: 中岛哲也,类型: 剧情 / 悬疑,制片国家/地区: 日本,年份: 2010
本杰明·巴顿奇事 The Curious Case of Benjamin Button,https://movie.douban.com/subject/1652587/,8.8,导演: 詹姆斯·卡梅隆,类型: 动作 / 科幻 / 冒险,制片国家/地区: 美国,年份: 2009
素媛 소원,https://movie.douban.com/subject/1291585/,8.9,导演: 宫崎骏,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 日本,年份: 1984
角斗士 Gladiator,https://movie.douban.com/subject/1292434/,9.1,导演: 杨德昌,类型: 剧情 / 爱情 / 家庭,制片国家/地区: 中国台湾/日本,年份: 2000
春光乍泄 春光乍洩,https://movie.douban.com/subject/3443389/,9.1,导演: 雅克·贝汉 / 雅克·克鲁奥德,类型: 纪录片,制片国家/地区: 法国/瑞士/西班牙/美国/阿联酋/摩纳哥,年份: 2009
